frame,p1x,p1y,p1z,p2x,p2y,p2z,p3x,p3y,p3z
0,-0.8144,-0.5803,0.0,-1.2028,-1.5913,0.0813,-1.5389,0.4663,1.4111
1,-0.8857,-0.4646,0.0,-1.3983,-1.4251,-0.0072,-1.4059,0.7232,1.4416
2,-0.9395,-0.3432,0.0,-1.5645,-1.2373,-0.0935,-1.2509,0.9613,1.4457
3,-0.9762,-0.2178,0.0,-1.7007,-1.0312,-0.1767,-1.0768,1.1789,1.4246
4,-0.996,-0.0901,0.0,-1.8068,-0.8099,-0.2561,-0.8864,1.3741,1.3797
5,-0.9992,0.0382,0.0,-1.8823,-0.5767,-0.3307,-0.6826,1.5454,1.3123
6,-0.9861,0.1655,0.0,-1.9269,-0.3348,-0.3997,-0.4684,1.6909,1.2237
7,-0.957,0.2901,0.0,-1.9401,-0.0875,-0.4622,-0.2465,1.8089,1.1152
8,-0.9121,0.4103,0.0,-1.9215,0.1621,-0.5173,-0.0198,1.8976,0.9881
9,-0.8517,0.5245,0.0,-1.8709,0.4106,-0.5642,0.2087,1.9553,0.8437
10,-0.776,0.631,0.0,-1.7878,0.6549,-0.6019,0.4361,1.9803,0.6833
11,-0.6855,0.7282,0.0,-1.6718,0.8917,-0.6297,0.6597,1.9709,0.5082
12,-0.5803,0.8144,0.0,-1.5225,1.1177,-0.6467,0.8765,1.9252,0.3197
13,-0.4646,0.8857,0.0,-1.3454,1.3234,-0.6518,1.0772,1.8444,0.1253
14,-0.3432,0.9395,0.0,-1.1484,1.5007,-0.6452,1.2541,1.7325,-0.0668
15,-0.2178,0.9762,0.0,-0.9347,1.6492,-0.6275,1.4065,1.5924,-0.2546
16,-0.0901,0.996,0.0,-0.7076,1.7681,-0.5994,1.5334,1.427,-0.4361
17,0.0382,0.9992,0.0,-0.4703,1.8571,-0.5616,1.634,1.2391,-0.6091
18,0.1655,0.9861,0.0,-0.2261,1.9154,-0.5147,1.7078,1.0315,-0.7717
19,0.2901,0.957,0.0,0.0219,1.9426,-0.4595,1.7537,0.8072,-0.9217
20,0.4103,0.9121,0.0,0.2702,1.938,-0.3965,1.771,0.569,-1.0571
21,0.5245,0.8517,0.0,0.5157,1.9012,-0.3266,1.759,0.3196,-1.1758
22,0.631,0.776,0.0,0.7551,1.8315,-0.2503,1.7168,0.0621,-1.2757
23,0.7282,0.6855,0.0,0.9853,1.7284,-0.1683,1.6437,-0.2008,-1.3549
24,0.8144,0.5803,0.0,1.2028,1.5913,-0.0813,1.5389,-0.4663,-1.4111
25,0.8857,0.4646,0.0,1.3983,1.4251,0.0072,1.4059,-0.7232,-1.4416
26,0.9395,0.3432,0.0,1.5645,1.2373,0.0935,1.2509,-0.9613,-1.4457
27,0.9762,0.2178,0.0,1.7007,1.0312,0.1767,1.0768,-1.1789,-1.4246
28,0.996,0.0901,0.0,1.8068,0.8099,0.2561,0.8864,-1.3741,-1.3797
29,0.9992,-0.0382,0.0,1.8823,0.5767,0.3307,0.6826,-1.5454,-1.3123
30,0.9861,-0.1655,0.0,1.9269,0.3348,0.3997,0.4684,-1.6909,-1.2237
31,0.957,-0.2901,0.0,1.9401,0.0875,0.4622,0.2465,-1.8089,-1.1152
32,0.9121,-0.4103,0.0,1.9215,-0.1621,0.5173,0.0198,-1.8976,-0.9881
33,0.8517,-0.5245,0.0,1.8709,-0.4106,0.5642,-0.2087,-1.9553,-0.8437
34,0.776,-0.631,0.0,1.7878,-0.6549,0.6019,-0.4361,-1.9803,-0.6833
35,0.6855,-0.7282,0.0,1.6718,-0.8917,0.6297,-0.6597,-1.9709,-0.5082
36,0.5803,-0.8144,0.0,1.5225,-1.1177,0.6467,-0.8765,-1.9252,-0.3197
37,0.4646,-0.8857,0.0,1.3454,-1.3234,0.6518,-1.0772,-1.8444,-0.1253
38,0.3432,-0.9395,0.0,1.1484,-1.5007,0.6452,-1.2541,-1.7325,0.0668
39,0.2178,-0.9762,0.0,0.9347,-1.6492,0.6275,-1.4065,-1.5924,0.2546
40,0.0901,-0.996,0.0,0.7076,-1.7681,0.5994,-1.5334,-1.427,0.4361
41,-0.0382,-0.9992,0.0,0.4703,-1.8571,0.5616,-1.634,-1.2391,0.6091
42,-0.1655,-0.9861,0.0,0.2261,-1.9154,0.5147,-1.7078,-1.0315,0.7717
43,-0.2901,-0.957,0.0,-0.0219,-1.9426,0.4595,-1.7537,-0.8072,0.9217
44,-0.4103,-0.9121,0.0,-0.2702,-1.938,0.3965,-1.771,-0.569,1.0571
45,-0.5245,-0.8517,0.0,-0.5157,-1.9012,0.3266,-1.759,-0.3196,1.1758
46,-0.631,-0.776,0.0,-0.7551,-1.8315,0.2503,-1.7168,-0.0621,1.2757
47,-0.7282,-0.6855,0.0,-0.9853,-1.7284,0.1683,-1.6437,0.2008,1.3549
